Get at Level	Improves Until	Name	SpecialFX Done?	Stage Number	Name - old	Type	Type Info	Casting Requires Target	Can Target Caster	Can Target Dead	Class (Index)	Class Name	"MP Cost, if First Version"	MP Cost	Effect Delay (ms)	Repeat Delay (ms)	Targets	Period	Duration	Duration / Period	DPS Modifier	DPS @ Level Obtained	Range		Start Min Casts	Start Max Casts	End Min Casts	End Max Casts	Description	5	Real Description
56	75	Maleficus Noctum	Yes	3	(Maleficus Noctum)	AOE		FALSE	FALSE	FALSE	0	Adept	""""	109	0	700	7				1.2	245.4857743	medium		7.406727829	16.87767584	9.905198777	22.95412844	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies	Powerful shadow-damage spell that hits nearby enemies
68	85	Venom Noctus	Yes	0	Venom Noctus	AOE		FALSE	FALSE	FALSE	0	Adept	0.2	323.8	0	700	8				1.2	302.0765784	medium		3.024500721	6.975499279	3.777022854	8.771875643	The ultimate shadow-damage area-of-effect spell	The ultimate shadow-damage area-of-effect spell	The ultimate shadow-damage area-of-effect spell
88	150	Venom Noctus	Yes	1	(Venom Noctus)	AOE		FALSE	FALSE	FALSE	0	Adept	""""	323.8	0	700	12				1.2	393.0085864	large		3.909820877	9.025118386	6.654313362	14.25880173	The ultimate shadow-damage area-of-effect spell	The ultimate shadow-damage area-of-effect spell	The ultimate shadow-damage area-of-effect spell
6		Se Mederi	Yes	0	Se Mederi	Heal	"Lesser, Self-Only"	FALSE	FALSE	FALSE	0	Adept	0	0	0	1133.333333					1.2	44.60296296			#DIV/0!	#DIV/0!			"Lesser, self-only healing spell"	"Lesser, self-only healing spell"	"Lesser, self-only healing spell"
2		Se Mederi	Yes	0	Se Mederi	Heal	"Lesser, Self-Only"	FALSE	FALSE	FALSE	1	Sorcerer	0	0	0	1085.714286									#DIV/0!	#DIV/0!			"Lesser, self-only healing spell"	"Lesser, self-only healing spell"	"Lesser, self-only healing spell"
6		Se Mederi	Yes	0	Se Mederi	Heal	"Lesser, Self-Only"	FALSE	FALSE	FALSE	2	Leyshaper	0	0	0	1050									#DIV/0!	#DIV/0!			"Lesser, self-only healing spell"	"Lesser, self-only healing spell"	"Lesser, self-only healing spell"
6		Se Mederi	Yes	0	Se Mederi	Heal	"Lesser, Self-Only"	FALSE	FALSE	FALSE	3	Hunter	0	0	0	1022.222222									#DIV/0!	#DIV/0!			"Lesser, self-only healing spell"	"Lesser, self-only healing spell"	"Lesser, self-only healing spell"
6		Se Mederi	Yes	0	Se Mederi	Heal	"Lesser, Self-Only"	FALSE	FALSE	FALSE	4	Paladin	0	0	0	1000									#DIV/0!	#DIV/0!			"Lesser, self-only healing spell"	"Lesser, self-only healing spell"	"Lesser, self-only healing spell"
9		Se Mederi	Yes	0	Se Mederi	Heal	"Lesser, Self-Only"	FALSE	FALSE	FALSE	5	Warrior	0	0	0	981.8181818									#DIV/0!	#DIV/0!			"Lesser, self-only healing spell"	"Lesser, self-only healing spell"	"Lesser, self-only healing spell"
13		Mederi	Yes	0	Mederi	Heal	Lesser	TRUE	TRUE	FALSE	0	Adept	0	0	0	966.6666667									#DIV/0!	#DIV/0!			Lesser healing spell	Lesser healing spell	Lesser healing spell
10		Mederi	Yes	0	Mederi	Heal	Lesser	TRUE	TRUE	FALSE	1	Sorcerer	0	0	0	953.8461538									#DIV/0!	#DIV/0!			Lesser healing spell	Lesser healing spell	Lesser healing spell
13		Mederi	Yes	0	Mederi	Heal	Lesser	TRUE	TRUE	FALSE	2	Leyshaper	0	0	0	942.8571429									#DIV/0!	#DIV/0!			Lesser healing spell	Lesser healing spell	Lesser healing spell
14		Mederi	Yes	0	Mederi	Heal	Lesser	TRUE	TRUE	FALSE	3	Hunter	0	0	0	933.3333333									#DIV/0!	#DIV/0!			Lesser healing spell	Lesser healing spell	Lesser healing spell
12		Mederi	Yes	0	Mederi	Heal	Lesser	TRUE	TRUE	FALSE	4	Paladin	0	0	0	925									#DIV/0!	#DIV/0!			Lesser healing spell	Lesser healing spell	Lesser healing spell
21		Mederi	Yes	0	Mederi	Heal	Lesser	TRUE	TRUE	FALSE	5	Warrior	0	0	0	917.6470588									#DIV/0!	#DIV/0!			Lesser healing spell	Lesser healing spell	Lesser healing spell
21		Se Vis Mederi	Yes	0	Se Vis Mederi	Heal	Self-Only	FALSE	FALSE	FALSE	0	Adept	0	0	0	911.1111111									#DIV/0!	#DIV/0!			Self-only healing spell	Self-only healing spell	Self-only healing spell
20		Se Vis Mederi	Yes	0	Se Vis Mederi	Heal	Self-Only	FALSE	FALSE	FALSE	1	Sorcerer	0	0	0	905.2631579									#DIV/0!	#DIV/0!			Self-only healing spell	Self-only healing spell	Self-only healing spell
11		Se Vis Mederi	Yes	0	Se Vis Mederi	Heal	Self-Only	FALSE	FALSE	FALSE	2	Leyshaper	0	0	0	900									#DIV/0!	#DIV/0!			Self-only healing spell	Self-only healing spell	Self-only healing spell
16		Se Vis Mederi	Yes	0	Se Vis Mederi	Heal	Self-Only	FALSE	FALSE	FALSE	3	Hunter	0	0	0	895.2380952									#DIV/0!	#DIV/0!			Self-only healing spell	Self-only healing spell	Self-only healing spell
12		Se Vis Mederi	Yes	0	Se Vis Mederi	Heal	Self-Only	FALSE	FALSE	FALSE	4	Paladin	0	0	0	890.9090909									#DIV/0!	#DIV/0!			Self-only healing spell	Self-only healing spell	Self-only healing spell
21		Se Vis Mederi	Yes	0	Se Vis Mederi	Heal	Self-Only	FALSE	FALSE	FALSE	5	Warrior	0	0	0	300									#DIV/0!	#DIV/0!			Self-only healing spell	Self-only healing spell	Self-only healing spell
38		Vis Mederi	Yes	0	Vis Mederi	Heal		TRUE	TRUE	FALSE	0	Adept	0	0	0	400									#DIV/0!	#DIV/0!			Healing spell	Healing spell	Healing spell
27		Vis Mederi	Yes	0	Vis Mederi	Heal		TRUE	TRUE	FALSE	1	Sorcerer	0	0	0	400									#DIV/0!	#DIV/0!			Healing spell	Healing spell	Healing spell
28		Vis Mederi	Yes	0	Vis Mederi	Heal		TRUE	TRUE	FALSE	4	Paladin	0	0	0	400									#DIV/0!	#DIV/0!			Healing spell	Healing spell	Healing spell
36		Se Valtus Mederi	Yes	0	Se Valtus Mederi	Heal	"Greater, Self-Only"	FALSE	FALSE	FALSE	0	Adept	0	0	0	400									#DIV/0!	#DIV/0!			"Greater, self-only healing spell"	"Greater, self-only healing spell"	"Greater, self-only healing spell"
24		Se Valtus Mederi	Yes	0	Se Valtus Mederi	Heal	"Greater, Self-Only"	FALSE	FALSE	FALSE	1	Sorcerer	0	0	0	400									#DIV/0!	#DIV/0!			"Greater, self-only healing spell"	"Greater, self-only healing spell"	"Greater, self-only healing spell"
30		Se Valtus Mederi	Yes	0	Se Valtus Mederi	Heal	"Greater, Self-Only"	FALSE	FALSE	FALSE	2	Leyshaper	0	0	0	400									#DIV/0!	#DIV/0!			"Greater, self-only healing spell"	"Greater, self-only healing spell"	"Greater, self-only healing spell"
16		Eradico Nex	Yes	0	Eradico Nex	Heal	"Lesser, Resurrecting"	TRUE	FALSE	TRUE	1	Sorcerer	0.5	157.8333333	0	600									1.077085533	2.922914467			"Lesser, resurrecting healing spell"	"Lesser, resurrecting healing spell"	"Lesser, resurrecting healing spell"
40		Valtus Mederi	Yes	0	Valtus Mederi	Heal	"Greater, Resurrecting"	TRUE	TRUE	TRUE	1	Sorcerer			0	300													"Greater, resurrecting healing spell"	"Greater, resurrecting healing spell"	"Greater, resurrecting healing spell"
1	4	Toxicum	Yes	0	Toxicum	DOT		TRUE	FALSE	FALSE	1	Sorcerer	0.2	7.433333333	0	600		1000	5000	5	0.3	1.984588235			2.01793722	7.98206278	6.188340807	19.14798206	Deals a small amout of poison damage over time	Deals a small amout of poison damage over time	Deals a small amout of poison damage over time
9	14	Venenum	Yes	0	Venenum	DOT		TRUE	FALSE	FALSE	1	Sorcerer	0.35	66.96666667	0	400		500	5000	10	0.3	5.532121212			1.458437033	4.255848681	2.229965157	6.192135391	Deals damage over time	Deals damage over time	Deals damage over time
17	27	Venenum	Yes	1	(Venenum)	DOT		TRUE	FALSE	FALSE	1	Sorcerer	""""	66.96666667	0	200		1000	10000	10	0.3	5.12585034			2.692882031	7.237431558	4.235938278	11.30413141	Deals damage over time	Deals damage over time	Deals damage over time
29	50	Magnus Venenum	Yes	0	Magnus Venenum	DOT		TRUE	FALSE	FALSE	1	Sorcerer	0.4	226.8	0	600		500	10000	20	0.3	26.48739726			1.341857731	3.658142269	2.298647854	6.334509112	Deals a significant amount of damage over time	Deals a significant amount of damage over time	Deals a significant amount of damage over time
51	80	Magnus Venenum	Yes	1	(Magnus Venenum)	DOT		TRUE	FALSE	FALSE	1	Sorcerer	""""	226.8	0	400		250	10000	40	0.5	52.81709402			2.344209289	6.437389771	3.665490888	10.50999412	Deals a significant amount of damage over time	Deals a significant amount of damage over time	Deals a significant amount of damage over time
18	32	Virum Nimbus	Yes	0	Virum Nimbus	AOE-DOT	Location-bound	TRUE	FALSE	FALSE	1	Sorcerer	0.4	142.3333333	0	600	16	500	15000	30	0.25	13.50686275			1.339578454	3.660421546	2.355971897	6.320843091	Damages those caught under the poison cloud	Damages those caught under the poison cloud	Damages those caught under the poison cloud
44	56	Ferocia Virum Nimbus	Yes	0	Ferocia Virum Nimbus	AOE-DOT	Location-bound	TRUE	FALSE	FALSE	1	Sorcerer	0.35	300.475	0	300		500	15000	30	0.35	23.79076861			1.528690684	4.18559503	1.941370608	5.377041906	Heavily damages those caught under the poison cloud	Heavily damages those caught under the poison cloud	Heavily damages those caught under the poison cloud
6	15	Incendia	Yes	0	Incendia	Projectile		TRUE	FALSE	FALSE	0	Adept	0.25	39.58333333	100	300	1				0.8	10.49481481	large		2.290526316	5.709473684	5.549473684	12.58105263	Shoots a fireball	Shoots a fireball	Shoots a fireball
14	30	Incendia Trio	Yes	0	Incendia Trio	Projectile	Spread of 3	TRUE	FALSE	FALSE	0	Adept	0.35	118.3	250	150	3				0.8	22.46222222	large		1.735700197	3.978585517	3.674274444	8.224852071	Shoots a spread of 3 fireballs	Shoots a spread of 3 fireballs	Shoots a spread of 3 fireballs
3	5	Calx	Yes	0	Calx	Projectile		TRUE	FALSE	FALSE	0	Adept	0.15	13.4	250	350	1				0.8	8.975238095	large		3.55721393	9.776119403	5.696517413	14.82587065	Summons a rock	Summons a rock	Summons a rock
14	30	Calx Multis	Yes	0	Calx Multis	Projectile	Line of 3	TRUE	FALSE	FALSE	0	Adept	0.25	84.5	100	300	1	300	900	3	0.8	22.46222222	large		2.429980276	5.570019724	5.143984221	11.5147929	Summons a line of 3 damaging boulders	Summons a line of 3 damaging boulders	Summons a line of 3 damaging boulders
21	50	Vis Calx Multis	Yes	0	Vis Calx Multis	Projectile	Sequence-Spread of 6	TRUE	FALSE	FALSE	0	Adept	0.3	147.1	100	300	1	150	850	5.666666667	0.8	34.20444444	medium		2.077951507	4.58871516	4.903693632	11.12621799	Summons a spread of 6 heavy and damaging rocks	Summons a spread of 6 heavy and damaging rocks	Summons a spread of 6 heavy and damaging rocks
2	8	Tueri	Yes	0	Tueri	Buff	Armor	TRUE	TRUE	FALSE	1	Sorcerer	0.75	40.5		300			270000						0.625514403	2.041152263	2.156378601	6.139917695	Armor enchantment	Armor enchantment	Armor enchantment
2	8	Tueri	Yes	0	Tueri	Buff	Armor	TRUE	TRUE	FALSE	0	Adept	""""	40.5		300			270000						0.823045267	2.238683128	2.946502058	6.930041152	Armor enchantment	Armor enchantment	Armor enchantment
11	20	Tueri	Yes	1	(Tueri)	Buff	Armor	TRUE	TRUE	FALSE	2	Leyshaper	""""	40.5		300			270000						2.559670782	7.827160494	4.559670782	13.35802469	Armor enchantment	Armor enchantment	Armor enchantment
11	20	Tueri	Yes	1	(Tueri)	Buff	Armor	TRUE	TRUE	FALSE	0	Adept	""""	40.5		300			270000						4.008230453	9.275720165	7.193415638	15.99176955	Armor enchantment	Armor enchantment	Armor enchantment
23	28	Tueri	Yes	2	(Tueri)	Buff	Armor	TRUE	TRUE	FALSE	0	Adept	""""	40.5		300			270000						8.255144033	18.65843621	10.02469136	22.03292181	Armor enchantment	Armor enchantment	Armor enchantment
13	17	Divinus	Yes	0	Divinus	Armor Enchantment		FALSE	FALSE	FALSE	1	Sorcerer	0.6	159.1		800			390000						0.873664362	2.459668971	1.13345904	3.046302116	Armor enchantment	Armor enchantment	Armor enchantment
15	17	Divinus	Yes	0	Divinus	Armor Enchantment		FALSE	FALSE	FALSE	0	Adept	""""	159.1		800			390000						1.380683009	3.130106851	1.560863189	3.473706264	Armor enchantment	Armor enchantment	Armor enchantment
22	39	Excelcior Divinus	Yes	0	Excelcior Divinus	Armor Enchantment		FALSE	FALSE	FALSE	1	Sorcerer	0.65	275.0583333		800			390000						0.843457448	2.233465629	1.482109855	3.959160178	Armor enchantment	Armor enchantment	Armor enchantment
22	39	Excelcior Divinus	Yes	0	Excelcior Divinus	Armor Enchantment		FALSE	FALSE	FALSE	0	Adept	0.65	332.2583333		800			390000						0.963106017	2.11381706	1.696471119	3.747084347	Armor enchantment	Armor enchantment	Armor enchantment
40	55	Excelcior Divinus	Yes	1	(Excelcior Divinus)	Armor Enchantment		FALSE	FALSE	FALSE	1	Sorcerer	""""	275.0583333		800			390000						1.519677644	4.043990669	2.083194474	5.647286939	Armor enchantment	Armor enchantment	Armor enchantment
40	55	Excelcior Divinus	Yes	1	(Excelcior Divinus)	Armor Enchantment		FALSE	FALSE	FALSE	0	Adept	""""	332.2583333		800			390000						1.739610243	3.829349653	2.386697098	5.33721251	Armor enchantment	Armor enchantment	Armor enchantment
25	50	Animus Divinus	Yes	0	Animus Divinus	Armor Enchantment		FALSE	FALSE	FALSE	0	Adept	0.75	440		800			390000						0.825	1.841666667	1.639393939	3.71969697	Armor enchantment	Armor enchantment	Armor enchantment
51	150	Spiritus Divinus	Yes	0	Spiritus Divinus	Armor Enchantment		FALSE	FALSE	FALSE	0	Adept	0.75	899.875		800			390000						0.817520952	1.849145715	2.394406631	5.130712599	Armor enchantment	Armor enchantment	Armor enchantment
25	50	Divinus Rex	Yes	0	Divinus Rex	Armor Enchantment		FALSE	FALSE	FALSE	1	Sorcerer	0.5	243.3333333		600			390000						1.080821918	2.919178082	2.142465753	5.904109589	Armor enchantment	Armor enchantment	Armor enchantment
51	150	Divinus Deus	Yes	0	Divinus Deus	Armor Enchantment		FALSE	FALSE	FALSE	1	Sorcerer	0.5	497.9166667		600			390000						1.067782427	2.932217573	3.122343096	8.067615063	Armor enchantment	Armor enchantment	Armor enchantment
36	44	Vis Tueri	Yes	0	Vis Tueri	Buff	Armor	TRUE	TRUE	FALSE	1	Sorcerer	0.6	418.7		300			270000						0.899609904	2.43372343	1.097046414	3.00374174	Armor enchantment	Armor enchantment	Armor enchantment
45	55	Vis Tueri	Yes	1	(Vis Tueri)	Buff	Armor	TRUE	TRUE	FALSE	1	Sorcerer	""""	418.7		300			270000						1.121725977	3.059469787	1.368521615	3.709895709	Armor enchantment	Armor enchantment	Armor enchantment
11	17	Hex Mortis Hydra	Yes	0	Hex Mortis Hydra	Direct Damage		TRUE	FALSE	FALSE	1	Sorcerer	0.4	90	500	200					2	79.12312312			1.314814815	3.685185185	2.003703704	5.385185185	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy
19	25	Hex Mortis Hydra	Yes	1	(Hex Mortis Hydra)	Direct Damage		TRUE	FALSE	FALSE	1	Sorcerer	""""	90	400	300					2	132.5333333			2.233333333	6.048148148	2.922222222	7.892592593	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy
33	42	Nex Mortis Hydra	Yes	0	Nex Mortis Hydra	Direct Damage		TRUE	FALSE	FALSE	1	Sorcerer	0.4	253.7333333	300	400					2	236.4444444			1.362322648	3.637677352	1.728849185	4.670257488	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy
43	64	Nex Mortis Hydra	Yes	1	(Nex Mortis Hydra)	Direct Damage		TRUE	FALSE	FALSE	1	Sorcerer	""""	253.7333333	200	500					2	310.6429043			1.769574356	4.762217551	2.624802943	7.25696269	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy
65	89	Vis Mortis Hydra	Yes	0	Vis Mortis Hydra	Direct Damage		TRUE	FALSE	FALSE	1	Sorcerer	0.4	508.2	200	500					2	483.710728			1.330840876	3.669159124	1.818837728	5.10363374	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy
90	150	Vis Mortis Hydra	Yes	1	(Vis Mortis Hydra)	Direct Damage		TRUE	FALSE	FALSE	1	Sorcerer	""""	508.2	200	500					2	668.182906			1.83917093	5.149547422	3.059163059	7.904368359	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy	Fierce direct-damage spell that hits the selected target with a beam of celestial energy
11	18	Lunae Nox Animus	Yes	0	Lunae Nox Animus	Direct Damage		TRUE	FALSE	FALSE	0	Adept	0.4	107.6	500	200					2	79.12312312			1.508674102	3.491325898	2.441140025	5.511152416	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage
19	26	Lunae Nox Animus	Yes	1	(Lunae Nox Animus)	Direct Damage		TRUE	FALSE	FALSE	0	Adept	""""	107.6	400	300					2	132.5333333			2.574349442	5.765179678	3.506815366	7.785006196	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage
27	35	Lunae Nox Animus	Yes	2	(Lunae Nox Animus)	Direct Damage		TRUE	FALSE	FALSE	0	Adept	""""	107.6	300	400					2	192.9429952			3.640024783	8.039033457	4.705700124	10.55452292	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage
30	55	Lunae Nox Ultimus	Yes	0	Lunae Nox Ultimus	Direct Damage		TRUE	FALSE	FALSE	0	Adept	0.3	211.15	200	500					2	212.5511111			2.058568158	4.608098508	3.755623964	8.398452917	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage
58	85	Lunae Nox Ultimus	Yes	1	(Lunae Nox Ultimus)	Direct Damage		TRUE	FALSE	FALSE	0	Adept	""""	211.15	200	500					2	422.2977099			3.959270661	8.971505249	5.792090931	13.45173258	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage	Draws life from the target with a beam of shadow-damage
9		Trans	Yes	0	Trans	Teleport		TRUE	FALSE	FALSE	0	Adept	0.2	45.46666667	200	300									2.939882698	7.060117302			Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
9		Trans	Yes	0	Trans	Teleport		TRUE	FALSE	FALSE	1	Sorcerer	""""	45.46666667	200	300									2.148093842	6.268328446			Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
7		Trans	Yes	0	Trans	Teleport		TRUE	FALSE	FALSE	2	Leyshaper	""""	45.46666667	200	300									1.488269795	4.750733138			Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
19		Trans	Yes	0	Trans	Teleport		TRUE	FALSE	FALSE	4	Paladin	""""	45.46666667	200	300									1.634897361	9.186217009			Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
16		Trans	Yes	1	(Trans)	Teleport		TRUE	FALSE	FALSE	0	Adept	""""	45.46666667		300									5.146627566	11.5542522			Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
16		Trans	Yes	1	(Trans)	Teleport		TRUE	FALSE	FALSE	1	Sorcerer	""""	45.46666667		300													Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
14		Trans	Yes	1	(Trans)	Teleport		TRUE	FALSE	FALSE	2	Leyshaper	""""	45.46666667		300													Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen	Moves you instantly to the chosen location on your screen
9		Reditus Doma	Yes	0	Reditus Doma	Portal	To spawn point	FALSE	FALSE	FALSE	0	Adept	0.05	11.36666667		800		7500							11.75953079	28.24046921			Transports you back home (your spawn point)	Transports you back home (your spawn point)	Transports you back home (your spawn point)
7		Reditus Doma	Yes	0	Reditus Doma	Portal	To spawn point	FALSE	FALSE	FALSE	1	Sorcerer	""""	11.36666667		800		7500							6.774193548	19.82404692			Transports you back home (your spawn point)	Transports you back home (your spawn point)	Transports you back home (your spawn point)
3		Reditus Doma	Yes	0	Reditus Doma	Portal	To spawn point	FALSE	FALSE	FALSE	2	Leyshaper	""""	11.36666667		800		7500							2.785923754	10.11730205			Transports you back home (your spawn point)	Transports you back home (your spawn point)	Transports you back home (your spawn point)
11		Reditus Doma	Yes	0	Reditus Doma	Portal	To spawn point	FALSE	FALSE	FALSE	3	Hunter	""""	11.36666667		800		7500							2.668621701	21.43695015			Transports you back home (your spawn point)	Transports you back home (your spawn point)	Transports you back home (your spawn point)
